1,1,35
2,2,172
3,3,100
4,4,61
5,5,128
6,6,128
7,7,25
8,8,64
9,9,176
10,10,81
11,11,194
12,12,181
13,13,16
14,14,150
15,15,21
16,16,197
17,17,39
18,18,173
19,19,188
20,20,131
21,21,63
22,22,157
23,23,122
24,24,39
25,25,159
26,26,115
27,27,31
28,28,56
29,29,99
30,30,67
31,31,111
32,32,120
33,33,80
34,34,105
35,35,194
36,36,36
37,37,51
38,38,142
39,39,91
40,40,118
41,41,173
42,42,182
43,43,19
44,44,94
45,45,199
46,46,95
47,47,41
48,48,43
49,49,109
50,50,67
51,51,123
52,52,163
53,53,193
54,54,186
55,55,80
56,56,33
57,57,84
58,58,58
59,59,180
60,60,189
61,61,30
62,62,24
63,63,83
64,64,192
65,65,71
66,66,58
67,67,22
68,68,43
69,69,35
70,70,83
71,71,109
72,72,111
73,73,117
74,74,24
75,75,42
76,76,38
77,77,130
78,78,32
79,79,87
80,80,63
81,81,41
82,82,51
83,83,96
84,84,179
