1,2020/1/1,2,82,75,부재시 전화주세요,1,1,44
2,2020/1/1,13,43,72,직접 설치부탁합니다.,1,1,72
3,2020/1/2,9,63,92,안전하게 배송부탁합니다.,1,1,35
4,2020/1/2,20,39,87,포장 철저하게 해주세요,1,1,57
5,2020/1/2,47,2,62,직접 설치부탁합니다.,1,1,53
6,2020/1/2,25,3,14,부재시 전화주세요,1,1,49
7,2020/1/2,9,12,40,안전하게 배송부탁합니다.,1,1,37
8,2020/1/5,3,7,39,빠른시일에 배송부탁해요,1,1,46
9,2020/1/5,24,51,65,도착시 전화주세요,1,1,49
10,2020/1/5,28,22,24,도착시 전화주세요,1,1,30
11,2020/1/6,37,14,70,직접 설치부탁합니다.,1,1,56
12,2020/1/6,7,26,76,부재시 전화주세요,1,1,68
13,2020/1/7,26,14,2,도착시 전화주세요,1,1,39
14,2020/1/7,16,27,40,포장 철저하게 해주세요,1,1,42
15,2020/1/8,34,6,79,안전하게 배송부탁합니다.,1,1,52
16,2020/1/8,44,25,25,빠른시일에 배송부탁해요,1,1,66
17,2020/1/8,27,4,6,빠른시일에 배송부탁해요,1,1,57
18,2020/1/8,15,6,69,부재시 관리실에 맡겨주세요,1,1,73
19,2020/1/8,41,63,41,포장 철저하게 해주세요,1,1,79
20,2020/1/9,37,2,70,직접 설치부탁합니다.,1,1,44
21,2020/1/10,53,65,39,부재시 관리실에 맡겨주세요,1,1,67
22,2020/1/10,14,81,53,직접 설치부탁합니다.,1,1,38
23,2020/1/10,35,67,75,부재시 관리실에 맡겨주세요,1,1,49
24,2020/1/10,50,42,57,도착시 전화주세요,1,1,69
25,2020/1/11,55,22,68,포장 철저하게 해주세요,1,1,53
26,2020/1/11,38,27,62,빠른시일에 배송부탁해요,1,1,80
27,2020/1/12,45,67,10,부재시 관리실에 맡겨주세요,1,1,76
28,2020/1/12,34,38,34,배송수량 확인 후 배송바랍니다.,1,1,80
29,2020/1/12,42,81,25,안전하게 배송부탁합니다.,1,1,74
30,2020/1/12,53,12,71,부재시 관리실에 맡겨주세요,1,1,53
31,2020/1/13,38,77,35,빠른시일에 배송부탁해요,1,1,80
32,2020/1/13,27,79,52,안전하게 배송부탁합니다.,1,1,70
33,2020/1/13,52,24,70,포장 철저하게 해주세요,1,1,74
34,2020/1/14,5,46,98,부재시 전화주세요,1,1,78
35,2020/1/16,28,11,8,도착시 전화주세요,1,1,64
36,2020/1/16,41,50,100,포장 철저하게 해주세요,1,1,50
37,2020/1/17,55,69,19,배송수량 확인 후 배송바랍니다.,1,1,47
38,2020/1/17,3,47,16,빠른시일에 배송부탁해요,1,1,68
39,2020/1/18,45,79,51,부재시 관리실에 맡겨주세요,1,1,56
40,2020/1/18,45,75,53,배송수량 확인 후 배송바랍니다.,1,1,63
41,2020/1/19,52,25,29,포장 철저하게 해주세요,1,1,70
42,2020/1/19,13,77,70,배송수량 확인 후 배송바랍니다.,1,1,80
43,2020/1/19,30,41,51,도착시 전화주세요,1,1,59
44,2020/1/20,35,83,5,빠른시일에 배송부탁해요,1,1,54
45,2020/1/20,6,4,72,안전하게 배송부탁합니다.,1,1,70
46,2020/1/22,33,38,47,빠른시일에 배송부탁해요,1,1,32
47,2020/1/22,47,23,41,직접 설치부탁합니다.,1,1,47
48,2020/1/23,54,14,82,포장 철저하게 해주세요,1,1,49
49,2020/1/24,19,45,63,부재시 관리실에 맡겨주세요,1,1,77
50,2020/1/24,41,82,36,포장 철저하게 해주세요,1,1,39
51,2020/1/26,25,80,89,부재시 전화주세요,1,1,78
52,2020/1/26,20,68,61,부재시 전화주세요,1,1,37
53,2020/1/26,2,53,22,부재시 전화주세요,1,1,43
54,2020/1/27,13,15,97,직접 설치부탁합니다.,1,1,75
55,2020/1/28,55,16,90,배송수량 확인 후 배송바랍니다.,1,1,32
56,2020/1/28,6,24,94,안전하게 배송부탁합니다.,1,1,59
57,2020/1/28,16,48,100,포장 철저하게 해주세요,1,1,62
58,2020/1/28,39,18,2,배송수량 확인 후 배송바랍니다.,1,1,32
59,2020/1/28,44,7,24,안전하게 배송부탁합니다.,1,1,47
60,2020/1/29,51,7,29,부재시 관리실에 맡겨주세요,1,1,58
61,2020/1/30,45,30,38,배송수량 확인 후 배송바랍니다.,1,1,35
